idx,instance_key,kept_count,total,kept_ids,removed_ids,lp,ilp,ratio
78,f80cbfe8b842fa85ffbfba14cd4c3855,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
79,855c01066cd8de2be3c997a5bcd5cb64,12,14,1;2;3;4;5;7;8;9;10;11;13;14,6;12,6.000000,4.000000,1.500000
80,25b66bb6a9d54312488f7634f6a4a364,12,14,1;2;3;4;6;7;8;9;10;11;12;14,5;13,6.000000,4.000000,1.500000
81,8ea1ee585b83c55e5d85f75a4118dc15,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
82,97b52a6019dc6c7454b21b3e5dd9b7a4,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
83,8c1c770b1dd62b1d1b5c96899ad335e7,12,14,1;2;3;4;5;6;8;9;10;11;12;14,7;13,6.000000,4.000000,1.500000
84,56025e2308cb3b4990571dea8e2f4a3c,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
85,d78fafa8c1f50cf1401a67ab75d2a0f2,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
86,0906e5d269772435902070149a9db932,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
87,6e7ab28a9969e04e39c2de2edcdea8d8,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
88,9699d148ff521f404a21229414757724,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
89,6a0b1dc8812bf95bf3191976cdb08981,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
90,3364f16ed9db9ef6a0d09d783518b0db,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
91,f3652611eecd7578251651b104dba16c,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
92,fdb9c9c911bab9de6d09596b9aed1493,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
93,6dd2425e6373670bbac080b07ec96aa2,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
94,afad608b62b776aacb21b9802ebd1b98,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
95,e04acb77fc3e81f5f4f03ec2952b4571,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
96,e14479f0909f82c289a270f52229da59,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
97,8d6976e283f7d7cadef885f47203ae7d,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
98,4ce06db1e12f2ffefd2a03b50e0e0fdc,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
99,f9ca7a9d332fe33c0018e1f31e40ab2a,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
100,e5214630c50515bca0956f12779fcfbe,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
101,feff57d29d690cbc2f5959c71dbdf2e1,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
102,158f25b40fdd6cc37f81718fa62b4e83,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
103,430b2c6040485e66cefb6fea40ab529a,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
104,a2267d4fbee0159cfa6c8daf323277ab,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
105,cf086ab033bcd5605f97a3d32b3bec6e,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
106,e7059d4e40801804f78d1789c540f52d,12,14,1;2;3;4;7;8;9;10;11;12;13;14,5;6,6.000000,4.000000,1.500000
107,0a8c120af20825ef53a2e1f6da76aa55,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
108,4d3d66aceffe3e4de7872a821395fa6d,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
109,cd85ba78a865053d6dea3f855d5677fa,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
110,934d126b88d2c6a2fd97f079ad381e23,12,14,1;2;3;4;7;8;9;10;11;12;13;14,5;6,6.000000,4.000000,1.500000
111,f422807e88084c6aed062f207e93d3c6,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
112,dbdfcb12cebd8074292a3223ccc0e054,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
113,522d2035a76aa86a4d637ddad652220c,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
114,c550a4ce0597444a5c3cf53b81e4a798,12,14,1;2;3;4;6;8;9;10;11;12;13;14,5;7,6.000000,4.000000,1.500000
115,2c98a1aea6e26bb501788e61c1d65103,12,14,1;2;3;5;7;8;9;10;11;12;13;14,4;6,6.000000,4.000000,1.500000
116,3f40883662d20b34f5fe85e6dbcbaea0,12,14,1;4;5;6;7;8;9;10;11;12;13;14,2;3,6.000000,4.000000,1.500000
117,233c0f7fd161abe2d806e766bbc39ea2,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
118,31562b51b3a6205f3a03a5eea29a0eb7,12,14,1;4;5;6;7;8;9;10;11;12;13;14,2;3,6.000000,4.000000,1.500000
119,6313cb8a09382d7ca2ec758e780651a5,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
120,dee6d47b144f1765291196156e2b9a14,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
121,f979cc8687a41b3211588d1db0ba4e92,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
122,dff267ab0749d6343aec9be625127b3c,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
123,10eed5b84500790068efca65355e4eb4,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
124,42e6f05d643b0848ef39b1828c421a1e,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
125,bfde003f07efbed0d2b06e23bbba897a,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
126,84d3cb01c6fe9c4eaec6e74c8fb590b5,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
127,024b11fc5174e73fc1a02c3c81f1a29d,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
128,22ef6471b599af6dc79276b46fee6f72,12,14,1;2;3;6;7;8;9;10;11;12;13;14,4;5,6.000000,4.000000,1.500000
