idx,instance_key,kept_count,total,kept_ids,removed_ids,lp,ilp,ratio
198,a2baf80d85a393338bceee93eca3a17c,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
199,8a88228c27d992f0dedf2e5dd471a0d1,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
200,80c4337012a8ff1f24b63494084513e6,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
201,84249984b4b8434fd33362e27b554a60,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
202,846760d6f826622415c5ba0b9688ea1f,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
203,a7efac56fd93f37344950f048672a9df,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
204,abb475a2a28eebea0fff60e9f40ec973,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
205,a4c4367781d087cf0f17debf26584612,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
206,e5d59654d3bd5ba87c98b3ae9805c9fa,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
207,238371893e64dd43e8917abc6213447e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
208,cb86785cf80dc387112dd89da1705194,12,14,1;2;5;6;7;8;9;10;11;12;13;14,3;4,6.000000,4.000000,1.500000
209,4dbe0f68863523387d32c1441f422224,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
210,3e76d32bbe52c998a25cea0cbed49a1b,12,14,1;2;3;4;5;6;8;9;10;11;12;14,7;13,6.000000,4.000000,1.500000
211,d4bd6fa646920819a5eb2d35d79312a2,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
212,15594b2161bf046a432fa52ce8bd5f15,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
213,d944b793276f118f195e0e6b919d67cb,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
214,748ecd2718a74c8d0658bba5489139a6,12,14,1;2;4;5;6;7;8;9;10;11;13;14,3;12,6.000000,4.000000,1.500000
215,88bbd64b78a91628e27aeb18bd996409,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
216,c6c4de304703b910c655057f168acb02,12,14,1;2;4;5;6;7;8;9;10;11;12;13,3;14,6.000000,4.000000,1.500000
217,64df04d45ed9d7ae7ab56095708b28fc,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
218,9be716581cafa4d8bd142ea92ab3c8b4,13,14,1;2;3;4;5;6;7;8;9;10;11;12;14,13,6.000000,4.000000,1.500000
219,197b9a7aa48c198130ca210a6f413ed9,12,14,1;2;4;5;6;7;8;9;10;11;12;13,3;14,6.000000,4.000000,1.500000
220,5d434b978894eac12adc2fb003c8ce05,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
221,46f464d54f545c47aa89b0a858e41c52,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
222,1430fe3dfddcb8ad04de8f1210c6fc38,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
223,abb5d437a9c4d924ed0748028db0adf9,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
224,b7e00369a27f707c620b0ae640e8c89c,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
225,10519c8ae84489e52b4181d3fa440c09,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
226,99011a740a2d5fc84edb2a6f1c23fd64,12,14,1;3;4;5;6;8;9;10;11;12;13;14,2;7,6.000000,4.000000,1.500000
227,0eaabae7b02a8d86d816addd7b5dd05c,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
228,6d307563549c7c22d596a362ee503148,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
229,6b317a0ebf032e911b985a1089646d91,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
230,328b54bebfbf4685f4adee8ea11daf9f,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
231,d312caf1cfa4ed3bda4f606a116dec9e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
232,87c6d39b5c4f08005864c50cb48044d2,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
233,3137e91dbe39815a427b48cb98714b2d,13,14,1;2;3;4;5;6;7;8;9;10;11;12;13,14,6.000000,4.000000,1.500000
234,01972974743dd532eb89ec819b8af124,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
235,31ed245653ba628b92bb78914b1a4dd8,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
236,fcc3a6cabe92b60071c0102640ab4f3e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
237,b23068e18990bc541eafd74931b1b933,12,14,1;2;4;5;6;7;9;10;11;12;13;14,3;8,6.000000,4.000000,1.500000
238,1a2425407fd0402f60f9e37540634f2b,12,14,1;2;4;5;6;7;8;9;10;11;12;13,3;14,6.000000,4.000000,1.500000
239,8edf363bebce9be23c72274f94a58458,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
240,689dd7d00cdab137521afae610bf72eb,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
241,026c3d57f12e7b10bbb3ac7d78055209,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
242,abb2dde250b8e08a0346aea140eae423,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
243,f5ba2ef9a532d3112265384d64e010b9,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
244,2d46103845c5486586bda834181ba9ae,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
245,16bf1c25224535160814b6f518f6fe85,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
246,9ecce3d345aa5d396271fad4874eb205,12,14,1;2;3;4;6;7;8;9;11;12;13;14,5;10,6.000000,4.000000,1.500000
247,5374cfd6f2909be8b613d4f00870e8cc,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
248,7b38835df24d1e333a640de7b4f58f18,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
249,38f2308a82241ccd05261fe9ff3a6e5d,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
250,50da38bd0f2e6181b18df44bae2f6a04,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
251,d7c9c49e9aed62e08d039664d55e0bf7,12,14,1;3;5;6;7;8;9;10;11;12;13;14,2;4,6.000000,4.000000,1.500000
252,df014581632ed7ebf089ce1c82f532cc,12,14,1;2;3;5;6;7;8;9;11;12;13;14,4;10,6.000000,4.000000,1.500000
253,9352178bae7fe4617d034a48baa4fe73,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
254,327d050c236c8d13f0c34f3482ba08ad,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
255,12ed611f7195f651a0b5dca3d21b6b13,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
